timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1544248678397,7902,View map,200,OK,ThreadGroup 1-2,text,true,,106793,472,37,37,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.87%2C+27.56%2C+54.17%2C+27.86%29,7887,0,1
1544248678397,7902,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-2,,true,,106793,472,37,37,null,7887,0,1
1544248680542,6680,View map,200,OK,ThreadGroup 1-14,text,true,,1328,472,39,39,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.95%2C+27.59%2C+54.25%2C+27.89%29,6658,0,0
1544248680541,6680,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-14,,true,,1328,472,39,39,null,6658,1,0
1544248679652,7584,View map,200,OK,ThreadGroup 1-19,text,true,,101154,472,39,39,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.84%2C+27.59%2C+54.14%2C+27.89%29,7583,0,1
1544248679652,7584,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-19,,true,,101154,472,39,39,null,7583,1,1
1544248680300,6938,View map,200,OK,ThreadGroup 1-26,text,true,,20090,472,39,39,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.93%2C+27.59%2C+54.23%2C+27.89%29,6937,0,1
1544248680299,6938,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-26,,true,,20090,472,39,39,null,6937,1,1
1544248679799,7442,View map,200,OK,ThreadGroup 1-25,text,true,,76072,472,39,39,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.87%2C+27.59%2C+54.17%2C+27.89%29,7440,0,1
1544248679799,7442,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-25,,true,,76072,472,39,39,null,7440,0,1
